rating,comment
4.5,"So far, so good!"
5.0,Very nice introduction to advanced text machine techniques. I wanted to get a snapshot of various methods available and deduce what is the right method for my text mining problem at hand and I clearly go it from the course.
1.0,"not good,total waste of money and time..not giving where to write and how to write code...."
5.0,I was not satisfied abut the quality of instruction. The instructor seemed to rush through all the topics. This is an advanced course and 2.5 hours of video is far from being sufficient to cover all topics in detail. In order to cover all the topics clearly and not rushing through the details this needs to be at least 25 hours of video. I am saying so because other course on NLP on Udemy are all reasonably long and convey the concept slowly and clearly without rush.
3.5,"I would name this course as ""A High-level Summary of Machine Learning for Text"". I was already familiar with most of what he presented and was interested in getting more in-depth explanations. For example: how to train my own NER model using spaCy? The author does cover it, but in a too fast way and with very shallow explanations. Sometimes he goes through a big portion of code explaining with a 3-word comment and you are left clueless about how to apply that to other use-cases you may need."
5.0,I came to know more in detail about text classification. The explanation is simple and easy to understand.  Thank you so much for teaching in detail. I really recommend this course for beginners who wants to learn more about text mining.
4.5,"A real inspiration. Very interesting topics, well presented."
3.5,"This course was good for gaining an overall idea in NLP. It has quite a few walk-through examples. However, hands-on learning is limited."
4.5,Es ist alles sehr gut erklärt - ich hätte mir mehr Übungen gewünscht um es direkt anwenden zu können.
2.0,"hard one. the course topics looked very promising, but the content itself is underwhelming. If you want to get a current status overview of what text analysis can do this is probably a great course, if you want to learn more because you have some experience already you won't find what you need. "
2.0,Teorik olarak anlatım yapılıyor. Örnek sayısı yetersiz.
3.0,Too little explanation of runtime. Course not very comprehensive
3.5,I'd love to have more real examples ( code and use case )
5.0,В курсе есть вся информация об алгоритмах работы с текстами.
3.0,I think it is good.
5.0,Good Overview
3.5,Very nice
4.5,"The instructor, so far, has provided a clear and comprehensive introduction to the topic."
2.0,Recordings are too old (5+ years). Videos are just going over a script and reading the Help section of packages.
4.0,The course has been useful.  One problem is that it was recorded some time in the past and newer versions of functions act differently so I had to find a few ways around problems using Google search but that is good practice too.
5.0,"actually , I wouldn't be exaggerating if i said that this is the best course I've taken so far. "
5.0,"This is a highly focused and well-designed class around Twitter and Sentiment analysis.  The construction of the Breen sentiment scoring function is a nice takeaway.  If you have never done Twitter or analysis of words, this is a good course in R to start with and build from."
1.0,"Twitter is now on TLS1.2.. the handshake code does not work and returns errorrror in function (type, msg, asError = TRUE)  : "
1.5,Please answer the questions!
4.0,This was pretty good.  I knew very little about the scraping of Tweets so I found this valuable.  I already knew a lot about Text Mining.  I was very interested in sentiment analysis. The instructor's presentation of it was good but I would have liked to have learned other methods of sentiment analysis such as the ones in the qdap and syuzhet packages.
4.0,The tutorials and mini projects are truly great - Best way to learn. The tutor did a good job in structuring and organizing this course. Great way to learn.
4.5,"I found this course very educative opened up new ideas to me. However, I didn't like the placement of the course scripts which will to help you follow the video."
4.0,The content is comprehensive but some times a little basic. I expected far too much from an advanced R course. The course gives an interesting toolbox to deal with unstructured data which is very productive because is uncommon to analyze this kind of data. The quality of the course is good but could be improved in the written material.
3.0,"It was overall OK, but 1) narration speed was too slow, 2) some of the actions shown couldn't be replicated without googling the problem and adding something that wasn't shown, 3) the coverage is rather limited, as there are many other tasks one might need to do, like extracting user information, separating tweets from retweets, comparing geographic distribution of sentiment, etc., etc."
4.0,"This course provides a nice introduction to text mining and sentiment analysis in R. Although the course is rated as advance, I found it pretty easy and straightforward. It is not very time consuming either. The course is good and informative though and you'll get familiar with twitter data. It would be a nice addition to work with Facebook and LinkedIn data too."
4.5,Really well done. The concepts are very easy to understand and to replicate. It is good starting point for data mining with R.
5.0,"Martin does a great job of teaching by example.  While R is not the most complicated language out here, it has plenty of packages that are built for it.  Martin has taken the topic of text mining, scraping, and sentiment analysis and shown how to accomplish these tasks through use of R.  This is a growing area of study and this course will definitely show you what can be done.  If you have any interest in this topic, the course will whet your appetite for more!"
5.0,"Great insights even for a beginner, learned a lot, crisp and clear, thanks a lot"
4.0,Teaches you the basic elements of NLP and sentiment analysis. I'd recommend this to a beginner of NLP with an intermediate level of R.
1.5,"I was expecting something more developed. I presume that the author does not have statistical background, but even though, conclusions such as ""perfectly fine prove that there is a strong correlation..."" sigh. A waste of money."
5.0,"Great course, I really like the professor's deliberate, thorough teaching style, and the fact that he provides the R code for all the cool things he teaches you about web scraping, text analytics, and sentiment analysis.   Plus he kinda sounds like Ahhnold Schwartzenegger, so that alone makes me want to listen all day."
1.0,He seem not to understand the inside of the code.
5.0,I took this course to help me on the the Capstone project from the Coursera Data Science Specialisation and I am very happy with this course contents and delivery. Thank Martin
5.0,"Useful concepts, good examples, clear explanations - Thanks!"
3.0,"I give it 3 stars because although useful, the course more or less repackages information available in CRAN depositories. I think more than anything it saves you time in learning how to implement a narrow method to scrape and perform elementary analysis on twitter data."
5.0,I am not able to create app on twitter so stuck even before started the course. I am very disappointed with missing information in course
5.0,The examples are clear.   The content is delivered concisely.  This course is worth it for the score sentiment function alone! Highly recommended!
4.5,Excellent Course for getting familiar with Social Media Analysis! Thanks Martin!
4.5,It is practical course. I learned a lot from this course. I got to know how to do  text mining and sentiment analysis with R from this course.
0.5,All the information were provided during the introduction - no more info in the following lessons. 
5.0,I really enjoyed this one especially among the previous courses. It is very practical and real life problem solving. I would appreciate to have some more real life problem and case solving tutorials.
4.5,"The content could be better, and the cleaning process could be introduced more clearly and detailed."
2.0,Because it looks very trivial to me and I think everyone by browsing the internet can find this info.
4.0,This course is very well thought out. I was not confused at any step and the instructions are very clear. I took another course similar to this one and it was not great at all. This course is worth taking!
4.5,"it would be good to know the other application of text mining, not necessarily on twitter or other social platform"
3.0,"A decent and quick introduction to text mining in R using Twitter data. The instructor does a very good job of outlining 2 different approaches to connecting to Twitter's developer API.  Unfortunately the one area the course falls flat in is how to deal with the inevitable issues with unknown characters, etc. that you will have to deal with when pulling in tweets.  If you are unable to deal with these characters, you really can't continue with the exercises in the course as all further formulas will throw errors and not run properly.  I really wish the instructor spent more time discussing how to properly clean text data since it is such an important part of the job."
4.5,"Excellent,Clear and Precise!!! But code Section for Scraping and Text Mining should have been provided."
4.0,"The course is easy to follow and worth taking. My only suggestion would be for the instructor to add more on to the sentiment analysis portion. The sentiment analysis we perform doesn't seem as useful as it could be. But I think this course is more of an intro, and it is great for that."
4.0,"The processes and functions are great! Some of the code gives errors, and I have to search online for solutions."
2.0,"Most of the course deals with accessing libraries in R, which a google search could do. This course discusses very little of the theory behind scraping."
5.0,"the course is very well structured, the teacher answer quickly your questions and he try to learn for yourself. I've been very happy with what I have learned."
0.5,"The sound is very bad,"
5.0,I liked the topic covered and some real world scenario used during the course. Also my queries were very promptly answered. Overall very good course
4.0,Good course to kick start text mining and twitter sentiment analysis!
5.0,"Very detailed explanation with examples and R code. I loved the content, explanation, pace of the course."
5.0,Great course. Really enjoyed taking this and through your courses my R knowledge is the best in my company.
4.5,I really enjoy it. Very hands on and what I learned I could immediately transfer to my daily job.
5.0,I really loved the course.. Would love to attend a course on the same using Facebook data
3.5,"Good introduction in general, allows us to know the most common packages and methods  but many steps in the coding stage are hard to replicate."
1.0,I have been following all the codes but they don´t work in the same way that the screen shows.
